sim,sampled_years,value_per_share
1322,"[2026, 2025, 2018, 2026, 2026]",2676.91
1323,"[2025, 2025, 2024, 2025, 2023]",3391.02
1324,"[2019, 2026, 2024, 2026, 2023]",4351.46
1325,"[2024, 2019, 2024, 2019, 2025]",2287.47
1326,"[2019, 2019, 2026, 2023, 2026]",2582.94
1327,"[2025, 2018, 2026, 2018, 2025]",2285.28
1328,"[2025, 2025, 2019, 2024, 2025]",2073.08
1329,"[2026, 2023, 2024, 2024, 2023]",4847.66
1330,"[2024, 2019, 2026, 2019, 2024]",3026.82
1331,"[2024, 2019, 2024, 2024, 2025]",2305.9
1332,"[2018, 2026, 2018, 2026, 2025]",2560.74
1333,"[2023, 2023, 2026, 2026, 2023]",5302.06
1334,"[2019, 2019, 2026, 2023, 2019]",2916.51
1335,"[2018, 2025, 2024, 2019, 2025]",2146.81
1336,"[2019, 2019, 2018, 2024, 2019]",2565.08
1337,"[2026, 2018, 2023, 2023, 2023]",4772.21
1338,"[2019, 2019, 2023, 2025, 2019]",2736.76
1339,"[2026, 2026, 2019, 2023, 2025]",3052.11
1340,"[2024, 2019, 2026, 2023, 2024]",3169.68
1341,"[2025, 2018, 2025, 2018, 2019]",2391.99
1342,"[2026, 2026, 2026, 2026, 2023]",5512.82
1343,"[2023, 2026, 2025, 2018, 2018]",3333.54
1344,"[2019, 2018, 2025, 2024, 2018]",2569.96
1345,"[2025, 2023, 2019, 2024, 2023]",3920.24
1346,"[2023, 2026, 2024, 2018, 2026]",2981.68
1347,"[2023, 2018, 2018, 2018, 2026]",2573.02
1348,"[2025, 2024, 2018, 2025, 2019]",2472.74
1349,"[2023, 2019, 2025, 2019, 2024]",3048.68
1350,"[2019, 2025, 2019, 2024, 2019]",2502.08
1351,"[2025, 2023, 2025, 2023, 2019]",2824.51
1352,"[2024, 2024, 2025, 2024, 2026]",2340.2
1353,"[2025, 2025, 2019, 2018, 2018]",2447.91
1354,"[2018, 2023, 2025, 2019, 2019]",2774.63
1355,"[2018, 2026, 2023, 2025, 2026]",2719.91
1356,"[2023, 2018, 2026, 2025, 2025]",2699.15
1357,"[2025, 2019, 2023, 2019, 2025]",2296.34
1358,"[2025, 2024, 2025, 2019, 2025]",2115.9
1359,"[2019, 2026, 2018, 2024, 2026]",2569.97
1360,"[2024, 2023, 2025, 2018, 2019]",2866.17
1361,"[2019, 2024, 2024, 2023, 2018]",2839.56
1362,"[2023, 2024, 2025, 2026, 2023]",4344.21
1363,"[2025, 2024, 2026, 2025, 2018]",2774.36
1364,"[2026, 2024, 2018, 2023, 2024]",3376.24
1365,"[2023, 2018, 2019, 2025, 2024]",3055.8
1366,"[2018, 2025, 2026, 2019, 2026]",2373.08
1367,"[2023, 2026, 2018, 2024, 2019]",3338.65
1368,"[2023, 2023, 2026, 2026, 2023]",5302.06
1369,"[2025, 2025, 2019, 2018, 2018]",2447.91
1370,"[2023, 2018, 2019, 2026, 2023]",4315.92
1371,"[2019, 2026, 2023, 2019, 2018]",3216.52
1372,"[2018, 2025, 2025, 2026, 2024]",2668.38
1373,"[2018, 2019, 2023, 2023, 2024]",3043.13
1374,"[2026, 2025, 2026, 2019, 2023]",4501.29
1375,"[2025, 2024, 2026, 2025, 2024]",2866.65
1376,"[2023, 2026, 2018, 2023, 2026]",3073.07
1377,"[2025, 2018, 2025, 2024, 2024]",2558.38
1378,"[2018, 2025, 2023, 2026, 2023]",3941.73
1379,"[2023, 2018, 2023, 2026, 2018]",3389.47
1380,"[2019, 2024, 2019, 2018, 2018]",2668.46
1381,"[2023, 2018, 2023, 2025, 2024]",3310.87
1382,"[2025, 2019, 2025, 2024, 2018]",2492.89
1383,"[2024, 2023, 2019, 2024, 2026]",2619.28
1384,"[2018, 2023, 2019, 2019, 2025]",2437.08
1385,"[2025, 2018, 2025, 2023, 2023]",3542.34
1386,"[2026, 2018, 2026, 2019, 2023]",4602.04
1387,"[2024, 2024, 2026, 2026, 2026]",2694.73
1388,"[2026, 2025, 2018, 2019, 2026]",2563.13
1389,"[2018, 2019, 2025, 2023, 2023]",3667.01
1390,"[2018, 2024, 2025, 2019, 2018]",2596.21
1391,"[2023, 2026, 2023, 2025, 2019]",3563.65
1392,"[2026, 2018, 2026, 2026, 2025]",2906.43
1393,"[2025, 2025, 2019, 2018, 2024]",2528.58
1394,"[2024, 2024, 2018, 2026, 2023]",3939.72
1395,"[2024, 2026, 2024, 2025, 2025]",2553.8
1396,"[2023, 2026, 2019, 2023, 2019]",3484.04
1397,"[2023, 2018, 2023, 2019, 2026]",2805.72
1398,"[2023, 2025, 2023, 2018, 2018]",3165.97
1399,"[2019, 2018, 2026, 2024, 2025]",2395.08
1400,"[2018, 2019, 2026, 2025, 2019]",2727.06
1401,"[2019, 2026, 2018, 2026, 2026]",2662.41
1402,"[2025, 2026, 2025, 2018, 2019]",2724.55
1403,"[2025, 2024, 2023, 2018, 2026]",2409.77
1404,"[2024, 2023, 2023, 2024, 2018]",3282.96
1405,"[2018, 2025, 2024, 2019, 2019]",2496.57
1406,"[2025, 2024, 2018, 2025, 2024]",2618.87
1407,"[2024, 2023, 2024, 2019, 2026]",2635.82
1408,"[2025, 2019, 2019, 2023, 2024]",2730.64
1409,"[2026, 2018, 2018, 2025, 2019]",2927.19
1410,"[2026, 2025, 2024, 2026, 2023]",4375.79
1411,"[2018, 2024, 2018, 2018, 2025]",2210.47
1412,"[2025, 2025, 2025, 2023, 2026]",2174.21
1413,"[2024, 2026, 2018, 2018, 2018]",3024.49
1414,"[2018, 2026, 2024, 2024, 2023]",4151.56
1415,"[2026, 2023, 2019, 2026, 2023]",4964.34
1416,"[2019, 2023, 2025, 2023, 2018]",3004.04
1417,"[2018, 2018, 2024, 2025, 2023]",3565.04
1418,"[2026, 2018, 2025, 2025, 2024]",3050.16
1419,"[2019, 2018, 2018, 2019, 2019]",2528.42
1420,"[2024, 2024, 2026, 2025, 2023]",4081.32
1421,"[2026, 2019, 2026, 2024, 2023]",4669.97
1422,"[2023, 2025, 2023, 2025, 2018]",3134.46
1423,"[2018, 2023, 2024, 2019, 2019]",2873.59
1424,"[2023, 2019, 2019, 2025, 2023]",4103.63
1425,"[2019, 2025, 2025, 2023, 2023]",3594.35
1426,"[2023, 2025, 2023, 2025, 2025]",2629.8
1427,"[2026, 2018, 2025, 2018, 2026]",2574.05
1428,"[2025, 2025, 2023, 2019, 2025]",2230.2
1429,"[2019, 2018, 2023, 2025, 2018]",2787.5
1430,"[2025, 2024, 2019, 2025, 2019]",2483.24
1431,"[2023, 2025, 2025, 2024, 2023]",3982.45
1432,"[2018, 2026, 2026, 2025, 2023]",4385.38
1433,"[2024, 2026, 2019, 2019, 2026]",2626.73
1434,"[2026, 2018, 2023, 2024, 2019]",3252.4
1435,"[2018, 2024, 2025, 2025, 2025]",2150.59
1436,"[2018, 2023, 2023, 2025, 2018]",3109.47
1437,"[2018, 2025, 2024, 2023, 2023]",3688.51
1438,"[2019, 2025, 2018, 2019, 2019]",2471.74
1439,"[2023, 2018, 2026, 2026, 2019]",3324.71
1440,"[2025, 2018, 2023, 2019, 2019]",2652.17
1441,"[2026, 2025, 2023, 2018, 2023]",4453.68
1442,"[2018, 2023, 2025, 2025, 2023]",3873.92
1443,"[2019, 2026, 2025, 2019, 2026]",2506.24
1444,"[2023, 2025, 2018, 2025, 2025]",2415.49
1445,"[2018, 2019, 2023, 2023, 2023]",4052.37
1446,"[2019, 2025, 2024, 2024, 2025]",2182.48
1447,"[2023, 2025, 2023, 2023, 2023]",4566.43
1448,"[2018, 2025, 2025, 2018, 2024]",2547.72
1449,"[2024, 2019, 2024, 2018, 2024]",2811.38
1450,"[2018, 2019, 2026, 2024, 2026]",2463.08
1451,"[2023, 2024, 2025, 2024, 2024]",3135.57
1452,"[2025, 2024, 2023, 2019, 2023]",3846.44
1453,"[2019, 2019, 2024, 2018, 2018]",2652.68
1454,"[2018, 2019, 2023, 2025, 2018]",2781.63
1455,"[2019, 2024, 2023, 2018, 2018]",2891.9
1456,"[2025, 2026, 2024, 2023, 2018]",3037.89
1457,"[2024, 2025, 2018, 2019, 2023]",3583.49
1458,"[2019, 2025, 2026, 2018, 2026]",2388.96
1459,"[2025, 2025, 2024, 2025, 2018]",2458.37
1460,"[2023, 2018, 2018, 2019, 2023]",4104.87
1461,"[2026, 2019, 2026, 2018, 2024]",3453.55
1462,"[2024, 2019, 2026, 2023, 2024]",3169.68
1463,"[2019, 2026, 2025, 2018, 2018]",2898.85
1464,"[2024, 2025, 2019, 2019, 2024]",2697.4
1465,"[2019, 2023, 2018, 2026, 2018]",3048.03
1466,"[2019, 2024, 2024, 2024, 2023]",3766.55
1467,"[2023, 2025, 2018, 2019, 2025]",2445.43
1468,"[2026, 2024, 2019, 2024, 2026]",2727.53
1469,"[2023, 2025, 2019, 2025, 2024]",2987.66
1470,"[2023, 2018, 2018, 2018, 2025]",2497.62
1471,"[2018, 2024, 2018, 2023, 2023]",3801.79
1472,"[2019, 2025, 2023, 2018, 2019]",2685.31
1473,"[2026, 2023, 2025, 2025, 2025]",2784.54
1474,"[2025, 2025, 2026, 2023, 2019]",2730.63
1475,"[2023, 2018, 2019, 2018, 2026]",2583.66
1476,"[2018, 2018, 2024, 2023, 2026]",2370.86
1477,"[2024, 2018, 2018, 2025, 2023]",3621.93
1478,"[2026, 2025, 2024, 2025, 2023]",4131.03
1479,"[2018, 2018, 2018, 2025, 2023]",3498.98
1480,"[2023, 2023, 2018, 2019, 2023]",4617.43
1481,"[2018, 2024, 2024, 2025, 2025]",2228.02
1482,"[2019, 2024, 2018, 2019, 2019]",2596.79
1483,"[2023, 2018, 2025, 2018, 2024]",3023.03
1484,"[2018, 2025, 2023, 2026, 2026]",2467.8
1485,"[2018, 2025, 2023, 2023, 2018]",2862.74
1486,"[2026, 2019, 2025, 2025, 2018]",2971.29
1487,"[2025, 2025, 2023, 2023, 2024]",2874.31
1488,"[2023, 2019, 2023, 2026, 2025]",2860.43
1489,"[2025, 2025, 2025, 2024, 2023]",3339.09
1490,"[2019, 2019, 2025, 2024, 2024]",2671.86
1491,"[2026, 2024, 2019, 2024, 2026]",2727.53
1492,"[2019, 2018, 2026, 2019, 2019]",2766.16
1493,"[2018, 2023, 2024, 2024, 2026]",2567.3
1494,"[2018, 2018, 2019, 2018, 2019]",2512.65
1495,"[2026, 2025, 2024, 2024, 2026]",2632.56
1496,"[2025, 2018, 2026, 2023, 2024]",2957.91
1497,"[2019, 2026, 2026, 2026, 2026]",2913.08
1498,"[2018, 2023, 2019, 2025, 2024]",2964.09
1499,"[2023, 2024, 2026, 2026, 2023]",4842.75
1500,"[2025, 2019, 2025, 2024, 2025]",2090.25
1501,"[2019, 2019, 2019, 2023, 2026]",2372.34
1502,"[2023, 2025, 2024, 2026, 2024]",3205.56
1503,"[2024, 2025, 2023, 2026, 2019]",2884.26
1504,"[2023, 2019, 2018, 2024, 2026]",2614.94
1505,"[2018, 2024, 2023, 2023, 2026]",2601.79
1506,"[2025, 2026, 2024, 2025, 2023]",3960.4
1507,"[2025, 2024, 2026, 2023, 2026]",2540.21
1508,"[2024, 2024, 2018, 2024, 2023]",3793.09
1509,"[2025, 2024, 2023, 2023, 2026]",2529.15
1510,"[2025, 2024, 2018, 2019, 2024]",2650.3
1511,"[2024, 2023, 2019, 2019, 2018]",3005.93
1512,"[2023, 2025, 2023, 2018, 2019]",3088.34
1513,"[2023, 2025, 2019, 2024, 2019]",2877.95
1514,"[2025, 2018, 2019, 2018, 2019]",2442.37
1515,"[2019, 2023, 2023, 2026, 2025]",2780.74
1516,"[2023, 2025, 2023, 2018, 2024]",3269.76
1517,"[2019, 2026, 2019, 2025, 2025]",2453.13
1518,"[2019, 2024, 2018, 2018, 2025]",2229.27
1519,"[2019, 2026, 2025, 2018, 2019]",2826.83
1520,"[2026, 2019, 2019, 2023, 2023]",4435.56
1521,"[2023, 2018, 2019, 2019, 2024]",3092.39
1522,"[2026, 2024, 2018, 2023, 2023]",4506.14
1523,"[2024, 2018, 2026, 2019, 2025]",2437.72
1524,"[2026, 2026, 2023, 2024, 2018]",3805.69
1525,"[2019, 2026, 2026, 2023, 2026]",2923.68
1526,"[2025, 2018, 2019, 2019, 2023]",3457.4
1527,"[2023, 2026, 2024, 2019, 2019]",3374.49
1528,"[2019, 2023, 2024, 2023, 2019]",3034.85
1529,"[2025, 2025, 2025, 2018, 2026]",2070.99
1530,"[2024, 2019, 2018, 2026, 2026]",2415.42
1531,"[2025, 2019, 2018, 2023, 2024]",2718.84
1532,"[2019, 2026, 2023, 2023, 2023]",4641.93
1533,"[2026, 2019, 2018, 2019, 2023]",4221.68
1534,"[2024, 2019, 2024, 2019, 2026]",2356.83
1535,"[2026, 2018, 2026, 2024, 2018]",3353.47
1536,"[2019, 2026, 2018, 2023, 2026]",2672.01
1537,"[2018, 2019, 2023, 2018, 2026]",2429.57
1538,"[2025, 2019, 2024, 2019, 2026]",2213.44
1539,"[2018, 2024, 2023, 2019, 2023]",3954.84
1540,"[2019, 2025, 2025, 2026, 2018]",2604.99
1541,"[2025, 2025, 2026, 2018, 2024]",2756.42
1542,"[2018, 2019, 2026, 2018, 2018]",2824.98
1543,"[2019, 2026, 2026, 2026, 2019]",3297.17
1544,"[2025, 2019, 2025, 2018, 2019]",2407.47
1545,"[2023, 2024, 2018, 2019, 2023]",4216.73
1546,"[2024, 2025, 2024, 2019, 2018]",2648.99
1547,"[2026, 2026, 2026, 2019, 2024]",3924.02
1548,"[2018, 2025, 2018, 2026, 2019]",2560.54
1549,"[2023, 2026, 2018, 2018, 2026]",2926.73
1550,"[2018, 2024, 2019, 2018, 2023]",3644.38
1551,"[2026, 2018, 2025, 2019, 2024]",3087.06
1552,"[2025, 2018, 2026, 2026, 2024]",2953.33
1553,"[2023, 2024, 2026, 2024, 2023]",4661.6
1554,"[2025, 2018, 2025, 2025, 2023]",3348.69
1555,"[2026, 2025, 2026, 2018, 2024]",3354.2
1556,"[2023, 2024, 2025, 2024, 2023]",4182.47
1557,"[2018, 2019, 2025, 2025, 2023]",3466.65
1558,"[2026, 2019, 2019, 2026, 2019]",3130.32
1559,"[2018, 2026, 2023, 2018, 2026]",2748.58
1560,"[2019, 2025, 2018, 2018, 2026]",2185.86
1561,"[2019, 2023, 2019, 2018, 2019]",2852.02
1562,"[2026, 2018, 2024, 2023, 2023]",4469.14
1563,"[2019, 2018, 2026, 2019, 2025]",2375.76
1564,"[2025, 2023, 2025, 2025, 2019]",2665.16
1565,"[2019, 2019, 2023, 2019, 2026]",2454.91
1566,"[2026, 2019, 2026, 2026, 2025]",2925.36
1567,"[2024, 2018, 2024, 2024, 2024]",2820.84
1568,"[2026, 2019, 2018, 2025, 2018]",3021.3
1569,"[2019, 2024, 2026, 2025, 2019]",2806.89
1570,"[2024, 2023, 2026, 2018, 2019]",3187.68
1571,"[2018, 2023, 2019, 2024, 2024]",3023.35
1572,"[2019, 2024, 2024, 2019, 2018]",2712.15
1573,"[2026, 2023, 2025, 2025, 2026]",2869.79
1574,"[2018, 2025, 2025, 2018, 2025]",2068.39
1575,"[2026, 2023, 2026, 2023, 2025]",3286.88
1576,"[2026, 2019, 2024, 2019, 2018]",3115.68
1577,"[2023, 2024, 2023, 2019, 2026]",2881.38
1578,"[2019, 2026, 2026, 2025, 2025]",2670.84
1579,"[2018, 2025, 2023, 2023, 2019]",2792.74
1580,"[2025, 2025, 2026, 2026, 2018]",2794.58
1581,"[2025, 2018, 2019, 2026, 2018]",2621.81
1582,"[2026, 2026, 2024, 2025, 2023]",4828.04
1583,"[2025, 2023, 2023, 2025, 2023]",4164.13
1584,"[2019, 2019, 2019, 2026, 2024]",2828.78
1585,"[2026, 2024, 2023, 2024, 2018]",3425.82
1586,"[2026, 2025, 2026, 2025, 2018]",3212.8
1587,"[2018, 2018, 2023, 2023, 2018]",2927.58
1588,"[2024, 2023, 2025, 2019, 2024]",3041.0
1589,"[2025, 2023, 2024, 2023, 2024]",3096.72
1590,"[2026, 2024, 2026, 2023, 2019]",3491.42
1591,"[2024, 2019, 2023, 2025, 2026]",2488.3
1592,"[2019, 2018, 2018, 2019, 2019]",2528.42
1593,"[2024, 2023, 2025, 2024, 2019]",2894.6
1594,"[2025, 2025, 2023, 2023, 2025]",2336.87
1595,"[2026, 2019, 2023, 2024, 2023]",4630.27
1596,"[2018, 2019, 2023, 2018, 2018]",2809.6
1597,"[2023, 2023, 2024, 2019, 2023]",4704.51
1598,"[2026, 2026, 2019, 2025, 2023]",4759.03
1599,"[2024, 2023, 2019, 2026, 2024]",3244.84
1600,"[2019, 2018, 2026, 2018, 2026]",2443.9
1601,"[2019, 2024, 2026, 2025, 2026]",2483.62
1602,"[2018, 2023, 2025, 2018, 2025]",2382.13
1603,"[2019, 2025, 2024, 2018, 2018]",2576.62
1604,"[2025, 2026, 2019, 2024, 2025]",2413.28
1605,"[2018, 2026, 2024, 2024, 2026]",2595.92
1606,"[2026, 2025, 2018, 2024, 2023]",4133.28
1607,"[2026, 2018, 2026, 2026, 2025]",2906.43
1608,"[2023, 2023, 2018, 2026, 2026]",3027.76
1609,"[2025, 2024, 2024, 2018, 2023]",3595.06
1610,"[2025, 2018, 2025, 2025, 2026]",2097.08
1611,"[2026, 2024, 2023, 2026, 2026]",3064.98
1612,"[2026, 2019, 2018, 2025, 2024]",3121.59
1613,"[2018, 2026, 2019, 2026, 2019]",2997.17
1614,"[2018, 2018, 2025, 2026, 2025]",2213.12
1615,"[2025, 2018, 2019, 2023, 2026]",2271.59
1616,"[2023, 2018, 2019, 2019, 2024]",3092.39
1617,"[2019, 2024, 2018, 2018, 2025]",2229.27
1618,"[2023, 2026, 2023, 2023, 2025]",3248.94
1619,"[2019, 2025, 2018, 2024, 2023]",3519.7
1620,"[2026, 2018, 2018, 2026, 2023]",4390.42
1621,"[2019, 2025, 2024, 2019, 2024]",2666.7
1622,"[2023, 2025, 2026, 2026, 2026]",2875.32
1623,"[2026, 2025, 2025, 2018, 2019]",2842.29
1624,"[2019, 2018, 2018, 2023, 2024]",2802.53
1625,"[2026, 2025, 2018, 2018, 2024]",3062.01
1626,"[2018, 2025, 2018, 2018, 2025]",2103.75
1627,"[2024, 2026, 2018, 2024, 2025]",2558.75
1628,"[2026, 2024, 2025, 2025, 2019]",2957.0
1629,"[2019, 2019, 2018, 2019, 2023]",3594.57
1630,"[2019, 2023, 2018, 2023, 2023]",4200.12
1631,"[2019, 2024, 2025, 2026, 2026]",2362.18
1632,"[2025, 2019, 2026, 2023, 2018]",2882.29
1633,"[2025, 2023, 2018, 2024, 2024]",2926.98
1634,"[2026, 2026, 2024, 2019, 2023]",4884.41
1635,"[2026, 2023, 2024, 2025, 2024]",3558.49
1636,"[2024, 2018, 2019, 2018, 2018]",2665.91
1637,"[2024, 2019, 2023, 2019, 2024]",3009.23
1638,"[2025, 2018, 2023, 2024, 2024]",2830.43
1639,"[2024, 2026, 2018, 2023, 2019]",3095.55
1640,"[2025, 2019, 2024, 2023, 2018]",2682.01
1641,"[2019, 2023, 2019, 2018, 2024]",3019.81
1642,"[2023, 2023, 2018, 2018, 2025]",2810.69
1643,"[2018, 2024, 2024, 2026, 2019]",2740.26
1644,"[2018, 2018, 2026, 2018, 2023]",3873.91
1645,"[2018, 2026, 2024, 2025, 2019]",2874.11
1646,"[2024, 2023, 2025, 2019, 2023]",4056.56
1647,"[2024, 2024, 2025, 2026, 2018]",2808.03
1648,"[2025, 2023, 2019, 2025, 2026]",2410.81
1649,"[2026, 2024, 2025, 2018, 2018]",3063.31
1650,"[2026, 2019, 2026, 2019, 2019]",3264.95
1651,"[2018, 2024, 2026, 2024, 2018]",2911.48
1652,"[2026, 2025, 2019, 2023, 2026]",2697.93
1653,"[2018, 2026, 2025, 2023, 2024]",3115.7
1654,"[2024, 2026, 2019, 2019, 2019]",2967.96
1655,"[2024, 2018, 2023, 2023, 2024]",3129.08
1656,"[2023, 2026, 2024, 2019, 2018]",3460.24
1657,"[2019, 2018, 2026, 2025, 2023]",3871.74
1658,"[2019, 2019, 2019, 2025, 2026]",2236.65
1659,"[2019, 2024, 2025, 2024, 2024]",2726.44
1660,"[2018, 2024, 2018, 2026, 2023]",3805.82
1661,"[2025, 2024, 2019, 2026, 2024]",2782.17
1662,"[2018, 2024, 2023, 2023, 2026]",2601.79
1663,"[2024, 2026, 2025, 2026, 2024]",3219.94
1664,"[2018, 2026, 2023, 2025, 2019]",3072.37
1665,"[2025, 2024, 2018, 2019, 2024]",2650.3
1666,"[2019, 2025, 2024, 2018, 2018]",2576.62
1667,"[2023, 2024, 2025, 2026, 2026]",2717.3
1668,"[2024, 2025, 2023, 2025, 2018]",2796.56
1669,"[2026, 2026, 2019, 2018, 2026]",2994.49
1670,"[2018, 2018, 2019, 2026, 2018]",2696.96
1671,"[2026, 2025, 2026, 2019, 2018]",3252.18
1672,"[2019, 2019, 2023, 2024, 2023]",3940.62
1673,"[2018, 2019, 2018, 2019, 2025]",2170.18
1674,"[2018, 2026, 2018, 2018, 2026]",2522.84
1675,"[2018, 2025, 2018, 2024, 2019]",2470.22
1676,"[2023, 2019, 2018, 2019, 2026]",2594.14
1677,"[2025, 2018, 2026, 2023, 2018]",2863.37
1678,"[2023, 2019, 2018, 2023, 2024]",3244.05
1679,"[2026, 2025, 2018, 2024, 2024]",3092.66
1680,"[2025, 2026, 2023, 2019, 2024]",3203.04
1681,"[2025, 2026, 2024, 2026, 2024]",3133.38
1682,"[2019, 2019, 2026, 2019, 2024]",2949.87
1683,"[2018, 2023, 2024, 2024, 2026]",2567.3
1684,"[2019, 2026, 2024, 2025, 2025]",2488.88
1685,"[2026, 2025, 2019, 2026, 2023]",4313.57
1686,"[2018, 2025, 2023, 2024, 2018]",2756.29
1687,"[2026, 2023, 2023, 2026, 2019]",3796.87
1688,"[2019, 2024, 2024, 2023, 2018]",2839.56
1689,"[2018, 2018, 2024, 2025, 2019]",2523.2
1690,"[2024, 2024, 2025, 2026, 2018]",2808.03
1691,"[2026, 2019, 2024, 2023, 2023]",4499.49
1692,"[2026, 2018, 2018, 2018, 2018]",3032.13
1693,"[2024, 2025, 2025, 2024, 2024]",2662.95
1694,"[2018, 2024, 2026, 2025, 2026]",2462.46
1695,"[2026, 2026, 2024, 2024, 2024]",3677.76
1696,"[2019, 2025, 2019, 2026, 2026]",2295.84
1697,"[2025, 2025, 2024, 2018, 2018]",2483.22
1698,"[2025, 2018, 2023, 2023, 2024]",2939.36
1699,"[2026, 2023, 2026, 2025, 2023]",5120.12
1700,"[2025, 2025, 2019, 2018, 2023]",3374.42
1701,"[2018, 2019, 2025, 2018, 2018]",2539.31
1702,"[2025, 2019, 2023, 2025, 2023]",3726.43
1703,"[2023, 2024, 2025, 2019, 2026]",2602.84
1704,"[2023, 2025, 2026, 2018, 2024]",3288.79
1705,"[2018, 2018, 2023, 2019, 2026]",2418.44
1706,"[2023, 2023, 2025, 2019, 2024]",3408.01
1707,"[2019, 2024, 2024, 2026, 2018]",2834.22
1708,"[2024, 2024, 2024, 2019, 2026]",2404.98
1709,"[2026, 2018, 2024, 2023, 2023]",4469.14
1710,"[2018, 2023, 2024, 2019, 2023]",4056.7
1711,"[2026, 2024, 2026, 2023, 2023]",4946.79
1712,"[2024, 2025, 2024, 2019, 2024]",2736.25
1713,"[2025, 2023, 2019, 2025, 2018]",2789.99
1714,"[2024, 2026, 2025, 2023, 2019]",3044.49
1715,"[2024, 2018, 2025, 2025, 2024]",2670.24
1716,"[2026, 2019, 2024, 2026, 2023]",4504.28
1717,"[2023, 2025, 2018, 2018, 2023]",4006.51
1718,"[2024, 2019, 2024, 2026, 2024]",2944.31
1719,"[2025, 2023, 2023, 2023, 2019]",3124.73
1720,"[2018, 2025, 2018, 2019, 2024]",2595.17
1721,"[2026, 2019, 2018, 2025, 2018]",3021.3
1722,"[2018, 2024, 2018, 2026, 2026]",2381.72
1723,"[2026, 2023, 2026, 2025, 2025]",3095.53
1724,"[2023, 2026, 2025, 2018, 2025]",2791.93
1725,"[2019, 2019, 2018, 2024, 2023]",3622.66
1726,"[2018, 2023, 2025, 2018, 2024]",2932.31
1727,"[2018, 2026, 2024, 2019, 2019]",2909.17
1728,"[2023, 2023, 2019, 2025, 2018]",3328.75
1729,"[2019, 2026, 2018, 2026, 2018]",3087.34
1730,"[2019, 2018, 2025, 2026, 2019]",2598.44
1731,"[2023, 2023, 2024, 2019, 2024]",3529.18
1732,"[2024, 2019, 2026, 2018, 2023]",4037.4
1733,"[2023, 2023, 2018, 2024, 2026]",2923.97
1734,"[2025, 2018, 2026, 2018, 2024]",2818.99
1735,"[2019, 2025, 2023, 2024, 2024]",2871.5
1736,"[2018, 2025, 2024, 2026, 2026]",2309.24
1737,"[2019, 2025, 2025, 2019, 2023]",3437.04
1738,"[2023, 2019, 2025, 2026, 2024]",3186.51
1739,"[2018, 2024, 2025, 2025, 2025]",2150.59
1740,"[2019, 2023, 2023, 2019, 2025]",2664.74
1741,"[2018, 2018, 2018, 2024, 2025]",2173.85
1742,"[2023, 2026, 2025, 2025, 2025]",2762.41
1743,"[2019, 2018, 2019, 2019, 2024]",2688.83
1744,"[2026, 2023, 2019, 2026, 2025]",3006.44
1745,"[2025, 2026, 2019, 2024, 2019]",2810.34
1746,"[2023, 2019, 2019, 2026, 2019]",3071.06
1747,"[2019, 2023, 2018, 2023, 2026]",2641.93
1748,"[2023, 2018, 2025, 2019, 2026]",2534.74
1749,"[2026, 2019, 2026, 2026, 2026]",3016.26
1750,"[2024, 2025, 2023, 2018, 2024]",2917.46
1751,"[2026, 2026, 2026, 2023, 2023]",5506.9
1752,"[2023, 2026, 2018, 2025, 2023]",4634.1
1753,"[2025, 2019, 2023, 2018, 2019]",2664.4
1754,"[2026, 2019, 2018, 2026, 2023]",4420.2
1755,"[2025, 2019, 2023, 2019, 2024]",2826.7
1756,"[2025, 2018, 2023, 2026, 2026]",2453.74
1757,"[2024, 2019, 2024, 2025, 2025]",2259.42
1758,"[2023, 2025, 2023, 2018, 2026]",2737.72
1759,"[2018, 2023, 2019, 2023, 2018]",3040.34
1760,"[2026, 2024, 2026, 2018, 2023]",4718.23
1761,"[2026, 2025, 2018, 2019, 2025]",2487.0
1762,"[2018, 2018, 2019, 2018, 2019]",2512.65
1763,"[2018, 2018, 2026, 2018, 2026]",2423.11
1764,"[2018, 2026, 2019, 2023, 2026]",2660.3
1765,"[2026, 2025, 2026, 2023, 2026]",2939.7
1766,"[2026, 2024, 2026, 2018, 2024]",3524.56
1767,"[2023, 2024, 2023, 2026, 2019]",3395.49
1768,"[2025, 2025, 2019, 2024, 2024]",2553.74
1769,"[2023, 2026, 2018, 2026, 2026]",3062.05
1770,"[2025, 2019, 2026, 2026, 2018]",2876.82
1771,"[2026, 2026, 2025, 2023, 2023]",4934.14
1772,"[2023, 2025, 2026, 2025, 2024]",3255.97
1773,"[2026, 2026, 2025, 2019, 2023]",4716.11
1774,"[2023, 2025, 2026, 2019, 2023]",4404.35
1775,"[2026, 2026, 2026, 2025, 2018]",3750.13
1776,"[2023, 2025, 2026, 2024, 2023]",4438.97
1777,"[2026, 2025, 2023, 2025, 2024]",3301.43
1778,"[2018, 2023, 2025, 2018, 2026]",2454.21
1779,"[2023, 2019, 2018, 2023, 2025]",2638.23
1780,"[2026, 2026, 2018, 2019, 2018]",3464.64
1781,"[2023, 2026, 2019, 2018, 2023]",4698.93
1782,"[2024, 2018, 2025, 2019, 2019]",2551.71
1783,"[2018, 2019, 2019, 2025, 2019]",2503.52
1784,"[2019, 2023, 2025, 2024, 2023]",3984.31
1785,"[2019, 2025, 2018, 2023, 2026]",2294.43
1786,"[2018, 2023, 2026, 2018, 2026]",2726.8
1787,"[2019, 2024, 2023, 2026, 2018]",3027.6
